ID,SampleID,StartTimeUTC,EndTimeUTC,StartTimeLocal,EndTimeLocal,TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,Volume,Chamber,SetupID,a1,b1,c1,d1,e1,f1,a2,b2,c2,d2,e2,f2
15389,15510,2024-01-02 05:00:00,2024-01-02 06:00:00,2024-01-02 08:00:00,2024-01-02 09:00:00,306.35,5281.5,5335,620,100,1,4715,620,390.74,989.97,1,24,383.771521011419,-0.0167730983330964,0.000200773798068924,-0.00000183717915954763,0.00000000628823020537683,-0.00000000000698132761478329,386.848885031126,0.0234559127898673,-0.0000703574132916342,0.000000600669144112901,-0.00000000333895998434319,0.00000000000581371789245947
15390,15511,2024-01-02 06:00:00,2024-01-02 07:00:00,2024-01-02 09:00:00,2024-01-02 10:00:00,260.54,4460.49,4506,551,100,1,3955,551,376.5,989.97,2,24,382.630440668602,-0.0174151866223258,-0.000249265903580661,0.00000198219157320226,-0.00000000661952732490365,0.00000000000822128152984888,375.556076317247,0.00311017349793314,0.0000456075031707626,-0.000000309422033716048,0.0000000000987719129864941,0.00000000000138978421287198
15391,15512,2024-01-02 07:00:00,2024-01-02 08:00:00,2024-01-02 10:00:00,2024-01-02 11:00:00,259.13,4467.45,4503,580,100,1,3923,580,382.52,992.07,1,24,370.651927134151,0.00153136679438772,0.0000481919362337714,-0.000000171158428972157,-0.000000000208474213609481,0.00000000000126476760298606,378.749769296648,0.0258458288842807,-0.0000817710211156691,0.00000028518300380121,-0.00000000110485733932863,0.00000000000194047293793818
15392,15513,2024-01-02 08:00:00,2024-01-02 09:00:00,2024-01-02 11:00:00,2024-01-02 12:00:00,266.16,4556.74,4601,659,93,1,3942,659,380.17,990.45,2,24,375.624286040043,-0.00672782995256597,-0.0000900516547626161,0.00000101086894430688,-0.00000000413654214089117,0.00000000000588665565239816,377.599531471382,0.0191094099223111,-0.0000555033995065784,-0.0000000990339722319496,0.000000000862659896724413,-0.0000000000010063778719607
15393,15514,2024-01-02 09:00:00,2024-01-02 10:00:00,2024-01-02 12:00:00,2024-01-02 13:00:00,280.07,4828.49,4878,659,100,1,4219,659,383.12,989.82,1,24,381.430763536775,-0.00516928780326083,-0.000119510637728487,0.000000696679196937127,-0.00000000232486585700235,0.00000000000342706428085749,380.756623314304,0.0207820966783851,-0.000115161032723664,0.000000551096987024065,-0.00000000189782719226958,0.00000000000284192029855807
15394,15515,2024-01-02 10:00:00,2024-01-02 11:00:00,2024-01-02 13:00:00,2024-01-02 14:00:00,276.49,4733.5,4779,629,100,1,4150,629,379.04,990.57,2,24,373.674491255824,-0.00889173043603276,-0.0000413008882400939,0.000000413996990173413,-0.00000000133157825196637,0.00000000000181484040314443,376.324056306942,0.0110563652663511,0.0000972477914311118,-0.00000117156342245414,0.00000000417970900667599,-0.00000000000472934876744561
15395,15516,2024-01-02 11:00:00,2024-01-02 12:00:00,2024-01-02 14:00:00,2024-01-02 15:00:00,273.13,4708.74,4757,590,100,1,4167,590,382.04,989.91,1,24,379.576947705135,-0.000713919646574051,-0.000154040871679421,0.000000713307592294234,-0.00000000137039666104451,0.00000000000109948751271832,379.721495935039,0.0081556839282715,0.000150641469759661,-0.00000126824464730031,0.00000000316134281755803,-0.0000000000021062087071928
15396,15517,2024-01-02 12:00:00,2024-01-02 13:00:00,2024-01-02 15:00:00,2024-01-02 16:00:00,289.11,4949.63,4996,692,100,1,4304,692,377.78,990.71,2,24,372.08736858169,-0.00674776487446812,-0.000159910810932939,0.0000016932034890875,-0.0000000061549072209448,0.00000000000784711194607188,375.244811850995,0.0100350526538697,0.0000631722049498464,-0.00000039141646162927,-0.0000000000908718262828819,0.00000000000211450661976599
15397,15518,2024-01-02 13:00:00,2024-01-02 14:00:00,2024-01-02 16:00:00,2024-01-02 17:00:00,296.24,5107.2,5164,705,100,1,4459,705,381.89,989.08,1,24,385.620763344848,-0.0196492294247948,0.00000571854125516648,-0.000000243513662295037,0.00000000118301091669148,-0.00000000000141453509969531,381.005458469015,0.0111548960566362,-0.000112948802878091,0.000000920737158439628,-0.0000000038905563090251,0.00000000000580554576337635
15398,15519,2024-01-02 14:00:00,2024-01-02 15:00:00,2024-01-02 17:00:00,2024-01-02 18:00:00,271.29,4644.5,4687,592,100,1,4095,592,374.33,991.01,2,24,369.629176640941,-0.015009812925353,-0.0000219727517413462,0.00000102881893066837,-0.00000000525786969149443,0.0000000000081329040748787,371.799169538658,0.0126157076228376,0.0000625472020856001,-0.000000834912786028088,0.0000000027342001810094,-0.00000000000266560631776613
15399,15520,2024-01-02 15:00:00,2024-01-02 16:00:00,2024-01-02 18:00:00,2024-01-02 19:00:00,274.67,4735.23,4783,617,100,1,4166,617,377.59,990.08,1,24,373.676184258484,-0.0107355954145307,-0.000015288140445784,0.000000382604037176104,-0.00000000188237313608405,0.00000000000308537930237243,375.064409363237,0.0221936939654947,-0.000206620343143149,0.00000142672049088216,-0.00000000484187047845616,0.0000000000062474070558145
15400,15521,2024-01-02 16:00:00,2024-01-02 17:00:00,2024-01-02 19:00:00,2024-01-02 20:00:00,274.88,4706,4748,636,100,1,4112,636,375.68,991.13,2,24,365.305145648688,-0.00213238526025409,-0.000129748749414826,0.00000132833419251755,-0.00000000410568900031598,0.00000000000437575131505439,372.25007965695,0.0176272789977579,-0.00000849981405442299,-0.0000000995578432066464,-0.0000000000301203902878118,0.000000000000805756554574904
15401,15522,2024-01-02 17:00:00,2024-01-02 18:00:00,2024-01-02 20:00:00,2024-01-02 21:00:00,275.89,4756.34,4797,769,100,1,4028,769,377.71,991.49,1,24,368.030294850938,-0.00394416772685526,-0.0000692117799142042,0.00000112895611359963,-0.00000000473541579149229,0.00000000000649191026336476,373.979737357646,0.0220134128900583,-0.00012832990797801,0.00000125368817441843,-0.00000000559700367885963,0.0000000000083331031474775
15402,15523,2024-01-02 18:00:00,2024-01-02 19:00:00,2024-01-02 21:00:00,2024-01-02 22:00:00,287.38,4919.97,4960,954,100,1,4006,954,375.05,992.01,2,24,363.695116963785,-0.0102479240721093,0.0000562278599946004,0.000000254792640991463,-0.00000000174918180417866,0.00000000000271295146226323,371.144607566415,0.016654703149805,0.0000639057269217894,-0.000000697580336991168,0.00000000182737195716075,-0.00000000000107835952490664
15403,15524,2024-01-02 19:00:00,2024-01-02 20:00:00,2024-01-02 22:00:00,2024-01-02 23:00:00,296.52,5111.99,5161,942,100,1,4219,942,380.57,990.48,1,24,372.973324900481,-0.00306416379002414,-0.0000912435417092116,0.000000864336303205919,-0.00000000309713659696307,0.00000000000398527394101594,376.683278338048,0.0197370150090656,-0.0000200256338547837,0.0000000206610319211703,-0.000000000554703424485988,0.00000000000158462219241589
15404,15525,2024-01-02 20:00:00,2024-01-02 21:00:00,2024-01-02 23:00:00,2024-01-03 00:00:00,278.01,4759.55,4803,870,100,1,3933,870,379.35,991.06,2,24,367.97634270389,-0.00739469088091857,-0.0000508483976752924,0.000000888078912408001,-0.00000000319794663582663,0.00000000000378465944400442,374.999515152723,0.0244005005658206,-0.000145506018456649,0.00000136045251690285,-0.00000000584095355595393,0.00000000000858872768430705
15405,15526,2024-01-02 21:00:00,2024-01-02 22:00:00,2024-01-03 00:00:00,2024-01-03 01:00:00,283.56,4888.64,4937,897,100,1,4040,897,383.71,990.27,1,24,376.679104328841,0.00558955563627637,-0.000203689233604138,0.00000185517079842458,-0.00000000703530906671218,0.00000000000936589628789807,380.413523302972,0.0178567935632628,-0.0000472864406585693,0.000000482372936939638,-0.00000000268782564152017,0.00000000000449131182308464
15406,15527,2024-01-02 22:00:00,2024-01-02 23:00:00,2024-01-03 01:00:00,2024-01-03 02:00:00,275.39,4714.76,4758,930,100,1,3828,930,379.93,990.88,2,24,371.667552272843,-0.00724476286762564,-0.000100154003748631,0.00000139043460249795,-0.00000000557838455940749,0.00000000000745029507489639,376.203228228273,0.0203219904702486,-0.0000913266015416648,0.000000550388274898021,-0.00000000175793452611742,0.00000000000218370582212312
15407,15528,2024-01-02 23:00:00,2024-01-03 00:00:00,2024-01-03 02:00:00,2024-01-03 03:00:00,268.13,4622.6,4671,817,100,1,3854,817,384.28,989.71,1,24,380.008392310981,-0.00562057184834472,-0.000154626271609393,0.00000186408939090808,-0.0000000080181416546355,0.0000000000112962990547604,380.741165116174,0.0170514282294757,-0.0000657054608257658,0.000000983925172178349,-0.00000000553745516668,0.00000000000933962278464265
15408,15529,2024-01-03 00:00:00,2024-01-03 01:00:00,2024-01-03 03:00:00,2024-01-03 04:00:00,310.12,5309.28,5357,958,100,1,4399,958,384.09,991.05,2,24,374.869408291746,-0.00245150322534157,-0.000179294817670543,0.00000175071558032155,-0.00000000630451253642812,0.00000000000805396666155198,379.205000445174,0.0307210025166946,-0.000193549616179105,0.00000150209852550435,-0.00000000570726154460188,0.00000000000779125985608617
15409,15530,2024-01-03 01:00:00,2024-01-03 02:00:00,2024-01-03 04:00:00,2024-01-03 05:00:00,300.5,5180.68,5233,1015,100,1,4218,1015,387.9,990.07,1,24,383.379012999261,-0.00242788755335887,-0.000112011215784304,0.00000102763126165021,-0.00000000397720826796179,0.00000000000532796270223141,384.502480703659,0.0235629240707108,-0.000224651584163781,0.00000206642034053313,-0.00000000826880052879433,0.0000000000114324793312953
15410,15531,2024-01-03 02:00:00,2024-01-03 03:00:00,2024-01-03 05:00:00,2024-01-03 06:00:00,286.56,4905.84,4952,886,100,1,4066,886,384.9,990.71,2,24,377.247789753356,-0.00339420891907982,-0.000200921982926083,0.00000219819210692728,-0.00000000819680501297709,0.0000000000103716847377686,381.274550697279,0.0271538426713564,-0.000255774963890183,0.00000210315732985193,-0.00000000789727358131382,0.0000000000105949076191979
15411,15532,2024-01-03 03:00:00,2024-01-03 04:00:00,2024-01-03 06:00:00,2024-01-03 07:00:00,297.43,5127.74,5178,861,100,1,4317,861,388.28,990.25,1,24,384.891958741539,-0.00463645970842771,-0.000108564623981412,0.00000133813987281825,-0.00000000626415332663852,0.00000000000946133524926658,384.973202300193,0.0149903911921749,-0.0000114833783827249,0.00000000636647385225523,-0.000000000382933643376347,0.0000000000012062695994703
15412,15533,2024-01-03 04:00:00,2024-01-03 05:00:00,2024-01-03 07:00:00,2024-01-03 08:00:00,341.95,5854.19,5905,864,100,1,5041,864,387.94,991.4,2,24,378.808727966622,-0.00965405916448554,-0.0000523204026834457,0.000000972990805997711,-0.00000000426237528433345,0.00000000000601354299711181,382.941050580012,0.0385881544981407,-0.000334145016750076,0.00000234351399251433,-0.00000000771694458172089,0.00000000000945658866780158
15413,15534,2024-01-03 05:00:00,2024-01-03 06:00:00,2024-01-03 08:00:00,2024-01-03 09:00:00,375.8,6478.77,6540,1117,100,1,5423,1117,391.48,990.59,1,24,388.560269794977,0.00130674387230093,-0.000229996393115706,0.00000229431000850507,-0.00000000916263180313698,0.0000000000123976338184445,389.031135843104,0.00586514964662287,0.0000917546373409379,-0.00000042680404771945,-0.0000000000249879381346758,0.00000000000167730400394992
15414,15535,2024-01-03 06:00:00,2024-01-03 07:00:00,2024-01-03 09:00:00,2024-01-03 10:00:00,369.42,6324.46,6377,1529,92,1,4848,1529,391.25,991.77,2,24,381.869038220512,-0.011659616979577,-0.0000494376835642504,0.00000112339266101309,-0.00000000506407677971352,0.00000000000715245891123335,386.18962966688,0.0280705028685849,-0.000130549667034032,0.00000105953921295621,-0.00000000445304814597762,0.00000000000662028191934954
15415,15536,2024-01-03 07:00:00,2024-01-03 08:00:00,2024-01-03 10:00:00,2024-01-03 11:00:00,429.63,7406.85,7483,1952,100,1,5531,1952,401.24,989.79,1,24,404.452921783493,-0.00444822443569489,-0.000115413124398768,0.000000498002023675794,-0.0000000018114377860087,0.00000000000279861098877668,398.842791660494,0.0220501247926955,-0.000215899351281594,0.00000167955759103225,-0.00000000628859896530517,0.00000000000851063961994516
15416,15537,2024-01-03 08:00:00,2024-01-03 09:00:00,2024-01-03 11:00:00,2024-01-03 12:00:00,457.35,7829.75,7906,1924,100,1,5982,1924,399.27,990.34,2,24,398.859467678418,-0.0146692317620635,-0.0000745870041516988,0.000000622220936036341,-0.0000000022320315904563,0.00000000000311552018805358,396.668317217088,0.0164793637903099,-0.0000593512533435046,0.000000298671337722112,-0.00000000146800626192145,0.00000000000280385532444359
15417,15538,2024-01-03 09:00:00,2024-01-03 10:00:00,2024-01-03 12:00:00,2024-01-03 13:00:00,486.62,8389.38,8474,1732,100,1,6742,1732,402.53,990.01,1,24,406.920086479948,-0.00322498984723843,-0.000313649552454374,0.00000247364047885983,-0.00000000892590250864059,0.0000000000115770417746241,401.096248904242,0.00151358087395693,0.000173144736992256,-0.00000158769304180051,0.00000000518114439658497,-0.00000000000571136167392891
15418,15539,2024-01-03 10:00:00,2024-01-03 11:00:00,2024-01-03 13:00:00,2024-01-03 14:00:00,467.68,8006.62,8081,1735,100,1,6346,1735,398.69,990.85,2,24,396.900960368116,-0.0251239890799453,0.000121678372542568,-0.000000523448822031975,0.000000000616917671545198,0.000000000000598491219950625,395.748883187854,0.0211930884114936,-0.0000929514170686313,0.000000470463057569904,-0.00000000194082069531524,0.00000000000325269194236697
15419,15540,2024-01-03 11:00:00,2024-01-03 12:00:00,2024-01-03 14:00:00,2024-01-03 15:00:00,491.15,8467.45,8552,2209,100,1,6343,2209,402.19,990.08,1,24,403.480473759701,-0.0137768993172605,-0.0000455107464734172,0.00000048753448564903,-0.00000000271649170761225,0.00000000000485651290553733,400.12504738601,0.0128059077776684,-0.000113340773231815,0.00000146358711797756,-0.00000000722269051704359,0.0000000000111940475905931
15420,15541,2024-01-03 12:00:00,2024-01-03 13:00:00,2024-01-03 15:00:00,2024-01-03 16:00:00,520.29,8907.4,8987,3019,100,1,5968,3019,399.59,991.18,2,24,396.322907441062,-0.00529880416874079,-0.000274340880621045,0.00000274715612835796,-0.000000010546330769979,0.0000000000140757720861621,396.774026533632,0.0137326458355314,0.00007087430366857,-0.000000953661329299811,0.00000000314711098342355,-0.00000000000303493314826038
15421,15542,2024-01-03 13:00:00,2024-01-03 14:00:00,2024-01-03 16:00:00,2024-01-03 17:00:00,454.2,7830.33,7903,2002,100,1,5901,2002,403.88,990.76,1,24,403.380292672556,-0.0183821521986323,0.00012844630339128,-0.000000578805329190831,-0.0000000000926132503922557,0.00000000000248317167732205,401.772713776013,0.00899252875655654,0.0000542413265677505,-0.000000448616459071025,0.000000000689949669197737,0.000000000000369072096009334
15422,15543,2024-01-03 14:00:00,2024-01-03 15:00:00,2024-01-03 17:00:00,2024-01-03 18:00:00,471.37,8069.8,8146,2032,100,1,6114,2032,399.67,990.62,2,24,395.171219431577,-0.0140441923486075,-0.0000659667029655711,0.000000968036987131706,-0.00000000385898115899387,0.00000000000521740268817579,396.5588415986,0.0312394934408369,-0.000294709777392052,0.00000189986095177742,-0.00000000622275396454981,0.0000000000079829611815233
15423,15544,2024-01-03 15:00:00,2024-01-03 16:00:00,2024-01-03 18:00:00,2024-01-03 19:00:00,482.02,8309.96,8392,2074,93,1,6318,2074,402.76,990.19,1,24,402.773744272201,-0.00136864536541406,-0.000280448154337136,0.00000230688778152328,-0.00000000819692632013441,0.0000000000104257275747502,400.590346388132,0.017706977718042,-0.000195159812879414,0.00000164346236945947,-0.0000000062911149208805,0.00000000000860991260653451
15424,15545,2024-01-03 16:00:00,2024-01-03 17:00:00,2024-01-03 19:00:00,2024-01-03 20:00:00,533.12,9126.98,9209,2495,100,1,6714,2495,399.26,991.14,2,24,396.013505344944,-0.0131041038989475,-0.000014581438157937,0.000000192334757849825,-0.000000000516354993852677,0.000000000000518417184688306,396.574772311472,0.0119746010728077,0.0000382026086717762,-0.000000227181221679706,-0.00000000047267057261995,0.00000000000228175410215715
15425,15546,2024-01-03 17:00:00,2024-01-03 18:00:00,2024-01-03 20:00:00,2024-01-03 21:00:00,447.09,7707.76,7781,1622,100,1,6159,1622,402.73,990.65,1,24,401.350237808686,-0.00927831504550177,-0.000109230354949045,0.00000123720118188588,-0.00000000552850858836597,0.00000000000821729866212871,400.207400526587,0.00925381994795361,0.0000474592815696432,0.0000000223391437443771,-0.00000000215893481665171,0.00000000000502639159965642
15426,15547,2024-01-03 18:00:00,2024-01-03 19:00:00,2024-01-03 21:00:00,2024-01-03 22:00:00,446.97,7652.11,7719,1691,100,1,6028,1691,400.26,991.32,2,24,394.863519220278,-0.00340547283697923,-0.000222783462270028,0.00000219336836481892,-0.00000000796915674018066,0.0000000000100327779652885,397.074268581512,0.028341051962023,-0.000303650158657507,0.00000237960314982908,-0.00000000853773907643785,0.0000000000110703789330913
15427,15548,2024-01-03 19:00:00,2024-01-03 20:00:00,2024-01-03 22:00:00,2024-01-03 23:00:00,468.7,8080.36,8160,1840,100,1,6320,1840,404.14,990.3,1,24,401.733360671341,-0.00726231102798776,-0.000115326086427261,0.00000105127798304423,-0.0000000039703477570868,0.00000000000531796491747562,401.412781386932,0.0126425929423464,-0.0000346380957572379,0.000000356769074072219,-0.00000000184618627352276,0.00000000000298979306116611
15428,15549,2024-01-03 20:00:00,2024-01-03 21:00:00,2024-01-03 23:00:00,2024-01-04 00:00:00,451.74,7733.87,7797,1625,100,1,6172,1625,399.69,991.94,2,24,395.425151750707,-0.00931373338148963,-0.000188287464600829,0.00000245699907374966,-0.0000000101242144898159,0.0000000000136801150215562,397.318173183607,0.00688470974317816,0.0000851871902114061,-0.000000435568331413331,-0.00000000000499033529043805,0.00000000000177647609557103
15429,15550,2024-01-03 21:00:00,2024-01-03 22:00:00,2024-01-04 00:00:00,2024-01-04 01:00:00,447.35,7712.27,7788,1553,100,1,6235,1553,399.93,990.24,1,24,400.355771118438,-0.00707092705049864,-0.000165207489772795,0.00000168294688271577,-0.00000000710193938880617,0.0000000000101542129354583,397.909946220942,0.0203996028806424,-0.000139867108899531,0.000000979705298878444,-0.00000000424904728845256,0.00000000000670416208192179
15430,15551,2024-01-03 22:00:00,2024-01-03 23:00:00,2024-01-04 01:00:00,2024-01-04 02:00:00,414.3,7092.79,7159,1422,100,1,5737,1422,397.24,990.78,2,24,389.371878116255,-0.00660117540011466,-0.000116810132353864,0.000000988757445324883,-0.00000000275709894653709,0.0000000000027030485589735,392.658885268067,0.02112110940775,-0.0000530544131361295,0.000000643068439462501,-0.00000000351050002521481,0.00000000000588390105171909
15431,15552,2024-01-03 23:00:00,2024-01-04 00:00:00,2024-01-04 02:00:00,2024-01-04 03:00:00,416.95,7188.2,7257,1320,100,1,5937,1320,409.02,990.52,1,24,401.830423314099,-0.0035432463951923,-0.000145213376611721,0.00000127259262537076,-0.00000000445544408032824,0.00000000000553908744652262,403.989413013148,0.0259601129287174,-0.000106749083541702,0.00000111587090552137,-0.00000000535037499360725,0.00000000000836279043987888
15432,15553,2024-01-04 00:00:00,2024-01-04 01:00:00,2024-01-04 03:00:00,2024-01-04 04:00:00,388.59,6652.61,6710,1220,100,1,5490,1220,410.46,991.39,2,24,402.282206098434,-0.00217475714125148,-0.000205488714499448,0.00000218495971613681,-0.00000000812289618585929,0.0000000000102996052669547,406.510040034919,0.019232197762231,0.0000634253232795072,-0.00000070524497637716,0.00000000156748269981698,-0.000000000000457516761173067
15433,15554,2024-01-04 01:00:00,2024-01-04 02:00:00,2024-01-04 04:00:00,2024-01-04 05:00:00,388.35,6695.15,6768,1252,100,1,5516,1252,412.72,989.24,1,24,411.300492529283,-0.0183491007571043,0.0000612872727988592,0.00000016964737838332,-0.00000000262263729206829,0.00000000000523639619899803,410.208994711222,0.0166342349576988,-0.000161878766952584,0.00000184483291588362,-0.00000000855880030075672,0.0000000000129539299669071
15434,15555,2024-01-04 02:00:00,2024-01-04 03:00:00,2024-01-04 05:00:00,2024-01-04 06:00:00,355.36,6083.83,6140,1148,93,1,4992,1148,406.64,990.86,2,24,402.057078941197,0.00218349252913362,-0.000305642035365073,0.00000281124620934801,-0.0000000100919141009419,0.0000000000126813944391474,404.016447475477,0.0175795216990201,-0.0000138856831027925,-0.000000160417961466718,0.0000000000416886820237475,0.00000000000105090163808366
15435,15556,2024-01-04 03:00:00,2024-01-04 04:00:00,2024-01-04 06:00:00,2024-01-04 07:00:00,407.77,7030.04,7104,1656,100,1,5448,1656,407.37,989.55,1,24,407.810428974158,0.001464009894658,-0.000335681425158107,0.00000292632189247736,-0.0000000106728931763966,0.0000000000136161503989001,405.52602027181,0.00893066451674453,-0.0000158519884602909,0.000000227538132761017,-0.00000000157189904066983,0.00000000000287131119296135
15436,15557,2024-01-04 04:00:00,2024-01-04 05:00:00,2024-01-04 07:00:00,2024-01-04 08:00:00,401.13,6867.35,6936,1622,100,1,5314,1622,401.08,990.1,2,24,396.039168356226,-0.012214950542348,-0.000164378332228888,0.00000239635719486927,-0.0000000101204972430421,0.0000000000137847263023103,397.897491534896,0.0189487271761627,-0.000024552572504921,-0.000000133149057270479,0.000000000414036108031262,0.000000000000001760875662772
15437,15558,2024-01-04 05:00:00,2024-01-04 06:00:00,2024-01-04 08:00:00,2024-01-04 09:00:00,428.94,7394.86,7468,1852,100,1,5616,1852,404.77,990.25,1,24,403.85723431731,-0.0199238190139514,0.000166267714423547,-0.000000830333515747317,0.000000000822759324181585,0.00000000000111643043485024,402.045512615197,0.0206304308553793,-0.000187300905918537,0.00000146053465924697,-0.00000000514120294016846,0.00000000000639279282724517
15438,15559,2024-01-04 06:00:00,2024-01-04 07:00:00,2024-01-04 09:00:00,2024-01-04 10:00:00,376.14,6439.54,6493,1463,100,1,5030,1463,398.34,991.78,2,24,391.695724002962,-0.000712247251837066,-0.000339651367992795,0.00000356163201610949,-0.0000000132099032436602,0.0000000000165607715747494,394.610109322302,0.0219722928213669,-0.000222590581174505,0.0000023874054731542,-0.0000000101585904478351,0.0000000000144427459056442
15439,15560,2024-01-04 07:00:00,2024-01-04 08:00:00,2024-01-04 10:00:00,2024-01-04 11:00:00,390.01,6723.74,6786,1613,100,1,5173,1613,405.42,990.85,1,24,395.130011805277,0.0122995537062509,-0.000413862118788308,0.00000371095445923673,-0.0000000132208651066963,0.0000000000164372960010178,400.028317614904,0.0208934515077599,0.0000334293640733532,0.000000102909101266217,-0.0000000021681198119167,0.00000000000454997674521461
15440,15561,2024-01-04 08:00:00,2024-01-04 09:00:00,2024-01-04 11:00:00,2024-01-04 12:00:00,423.76,7254.75,7312,1720,100,1,5592,1720,410.12,992.2,2,24,395.58844295294,0.000976512204819834,-0.000198183307399399,0.0000023590186193225,-0.00000000921858304785506,0.000000000012111116224283,404.123364494449,0.036063108449237,-0.000185715384322746,0.00000157036228926131,-0.00000000659966100642914,0.00000000000955681857834358
